,평점,일시,감상평
424,10,2020.02.29 15:32,혼자 봐도 좋고 연인과 같이 봐도 좋다. 사실 나온 배우들 다 좋아하지만 엠마 왓슨을 좋아해서 본 영화인데 시얼샤 로넌도 원래부터 알고 있었지만 시얼샤 로넌의 연기와 이미지가 너무 좋았다. 영상미도 굿
425,10,2020.02.29 03:56,엄청 감동적인 건 아니지만 잔잔한 감동과 재미가 있었던영화 그리고 엠마왓슨 넘 이쁘댜~~
426,10,2020.02.29 02:19,소소한 울림이 있는 영화!영상미가 너무 이뻤다.. 의상이랑 ㅠㅠ
427,10,2020.02.29 01:36,
428,10,2020.02.29 01:04,배우들부터 스토리 색감 연출까지 뭐 하나 빠질 수 없는 영화입니다 감동과 교훈도 얻었어요저는 엄마랑 같이 봤는데 너무 좋았습니다!
429,10,2020.02.29 00:26,어릴때 읽은 그 책. 주인공들의 나이를 다 지나온 여자가 되어버린 지금도 고개가 끄덕여지는 명작 스토리입니다. 책과는 다르게 시점들이 교차되어 만들어져서 더 재미나게 보았습니다. 몇번의 울컥과 감정이입의 눈물.. 정말 재미나게 봤습니다 
430,10,2020.02.29 00:10,"보는 내내 영상미,배우들 연기에 빠져들게만들고 한국영화 돈주고 보기 싫게 만드는 영화."
431,10,2020.02.28 21:15,코로나를 감수하고 2차뜀
432,10,2020.02.28 13:46,"시간이나 때우려고 아무 생각없이 제일 빠른 시간으로 선택한 영화. 뭔 개똥같은 영화인가 했다. 따분함의 눈물은 감동의 눈물로 바뀌었다. 나같은 관객들은 안중에도 없다는 듯,  불친절하다 싶을 정도의 능숙하고 쿨한 연출. 구차하게 이해 할 필요없다.  그냥 보이는데로 감상하면된다. 포드회장님의 시선으로... "
433,10,2020.02.28 10:05,"인간적인 영화..! 메그의 삶도 베쓰의 삶도 조, 에이미의 삶 모두 공감가고 그들의 실수, 행복도 다 응원하고 싶게 만들더라구여"
434,10,2020.02.28 02:37,이런 영화가 또 나오길 빌며 .. 정말 좋았습니다 ㅠㅠㅠㅠ 자꾸만 눈물이 나오고 조만간 책도 사서 읽을예정이예요 !!
435,10,2020.02.27 22:24,조금 지루했는데 점점 갈 수록 재미있고 감동적이고 캐릭터들이 이해가더라. 이제 책도 읽어볼생각
436,10,2020.02.27 14:10,가족의 따뜻함과 일상생활에서의 감동을 받을 수 있었습니다
437,8,2020.02.26 21:35,일과 사랑에서 모두 성공하기를 원하는 이 시대의 여성상이 반영된 영화
438,10,2020.02.26 16:53,"어린 시절 닳도록 읽었던 작은 아씨들을 커서 영화로 보니까, 영화를 보는동안 저의 유년 시절도 스쳐지나가는 것 같아서 별거 아닌 장면에도 울었습니다ㅜㅜ"
439,10,2020.02.25 20:28,"어린 시절 닳도록 읽었던 작은 아씨들을 커서 영화로 보니까, 영화를 보는동안 저의 유년 시절도 스쳐지나가는 것 같아서 별거 아닌 장면에도 울었습니다ㅜㅜ"
440,9,2020.02.24 19:19,조의 시점에서 현재와 과거가 교차되는 영리한 편집.
441,10,2020.02.24 00:40,"행복한 장면인데도 눈물이 멈추지 않았다 이미 흘러간 과거임을 알고 봐서 그런가,,, 나의 어린시절을 기억하게 하는, 등장인물들이 모두 행복했으면 하고 바라게 되는 작품"
442,10,2020.02.23 22:42,옛날에 여자들이 햇던 고민들이 지금 2020년까지 이어져 올줄이야.. 여자라면 꼭 봐야하는 영화다. 결국엔 부유한사람들이 주위에 있었기에 이 모든행복이 가능했을지도 모른다.
443,10,2020.02.23 22:01,최근 본 영화중 단연 최고입니다 여운이 가시지 않네요 인생의 중요한 것들을 다시 깨닫게 해줬어요
444,10,2020.02.23 20:40,기대안하고봤다 볼까말까하다 그냥봤는데 너무좋았다..그이상 말이 설명할길없이 그냥 영화보는 내내 좋았다
445,10,2020.02.23 20:32,평범한 일상 속 이야기같지만 드라마틱하고 감동 재미 다 있는 영화
446,10,2020.02.23 20:06,드디어 이 스토리를 완주했다!
447,9,2020.02.23 19:53,재밌게봄 과거 책읽으면 느꼈던 감정 추억도 돋고 어린시절 느꼈던 느낌과 어른이 되서 본 영화가 느낌이 달라서 색달랐음
448,10,2020.02.23 19:52,"소설을 너무 좋아해서 봤어요. 어린시절 향수를 불러일으키는, 마음 따뜻해지는 영화입니다. 예고편에도 나오는 고백 장면 보고 티모시 샬라메 팬 됐어요. 강추합니다."
449,10,2020.02.23 19:39,오만과 편견같은 분위기를 좋아하는 저로서는 재미있게 봤습니다 잔잔해서 편하게 볼 수 있었고 무엇보다 영상미가 너무 좋았습니다
450,10,2020.02.23 18:52,여성인권에 대해 얘기하는 작품이어서 좋았다.
451,8,2020.02.23 00:26,기대를 많이 해서 그런진 몰라도 내용은 좀 지루 했고 영상미는 좋았다.
452,10,2020.02.22 23:36,시대를 불문하고 모두 같은 고민을 하고 있구나
453,8,2020.02.22 02:42,어떤 이념에 치우침 없이 솔직해서 좋았다. 더불어 틀린 삶은 없으며 모두의 삶이 존중되고 함께 함에 기뻤다.
454,10,2020.02.22 00:07,계속 울었네요 자매들끼리의 유대감이 너무 부럽기도하고 그 때문에 더 슬펐어요 여자는 살려면 결국 결혼을 해야한다고 배우고 그 불합리함에 대항하지만 그와 별개로 외로운것은 사람이 느끼는 어쩔 수 없는 감정이라는게 와닿았어요 끝나고 나서도 계속 눈물나는 영화는 처음이였던것 같아요 
455,10,2020.02.21 23:35,엄마따라 보러가서 별 생각없이 봤는데 나올때는 진한 여운이 남았어요. 조의 열정이 제 마음에 있던 무언가를 꺼내준 기분이었습니다. 성격도 다다르고 꿈도 다 다르지만 네 자매의 소소한 이야기가 저를 보는 내내 즐겁게 해주었습니다. 감사합니다 
456,10,2020.02.21 20:05,인생영화 등극 했습니다
457,10,2020.02.20 21:31,기대안했는데 너무 재밌었고 여운이 많이 남고 감동적이었다... 엄청 슬픈건 아닌데.. 많이 공감이 되어서 계속 눈물이 났다ㅠㅠ다음주에 또 보러가야지
458,10,2020.02.20 19:59,외국옛날모습을 보니까 우리의 일상과는 다른 모습이다보니 힐링되고 빠져드는 시간이었어요
459,10,2020.02.20 13:35,볼까 말까 했는데 후회 없는 영화였습니다.
460,10,2020.02.19 11:57,많이 울며 봤어요. 요근래 극장에서 본 영화 중 가장 좋았습니다. 조에 감정이 많이 이입되어 보았네요.
461,10,2020.02.18 21:00,죽기 전 마지막 영화를 본다면 작은 아씨들 을 선택해야지 라고 생각이 들 정도로 재미있었다 에이미가 얄밉다면 영화를 다시 한번보고 판단해주세요!세번보고 네번보자
462,10,2020.02.18 20:52,"책의 결말이 결혼이였지만, 영화에서는 하지 않길 바랐다."
463,10,2020.02.17 23:07,갸꿀잼갸꿀잼내인생최고의드라마
464,10,2020.02.17 21:45,"정말 아름다웠던 영화!!미국 시골마을의 맑고 아기자기한 정취와배우들의 훌륭한 연기력,뛰어난 의상과 연출까지..두고두고 보고 또 보고싶은 아름다운 영화이다"
465,10,2020.02.17 14:14,재밌어서 시간가는 줄 모르고 봤어요 티모시샬라메가 기억에 남아요 페미니즘 영화라고 생각했는데 남자와 여자 사랑얘기 영화에요
466,10,2020.02.17 09:38,"이런 영화가 10점이 아니면 어떤 영화가 10점이겠는가? 많은 평론가들이 페미니즘적 시각에서 탈페미니즘 혹은 휴머니즘으로만 이 영화를 평가하는데, 아 사각에서만 영화를 감상한다면 이 영화의 가치를 반만 느끼는 것이다. 힘든일이 많았기에 즐거운 일들을 적을 수 있다라는 이 영화의 첫 대사의 의미를 생각하며 보시면 좋을 듯 "
467,8,2020.02.17 09:37,"이상하게도 이 영화는 내게 &#39;응답하라&#39;시리즈를 떠오르게 했다.내가 잊었던 유년시절을 회상하게 만들어서 매장면 눈물을 쏟게 했다.어린시절 &#39;작은 아씨들&#39;은 소설로,애니매이션으로 내  사춘기를 채워줬었다.그걸 까맣게 잊고 잊다가 다시 만나게 되면서, 이야기의  따뜻함이 눈물나게 했다.이젠 옅어진 가족간,이웃간의 유대,정....등등.예상 밖으로 눈물이 터져서 간만에 난 울린 영화였다 "
468,8,2020.02.17 07:45,여자라면 중후반까지 꿈꾸는 주인공을 보며 미소지으며 볼 수 있을 듯. 다만 &#39;평생 사랑한 사람&#39;을 잊고 갑자기 다른연인을 만나 모두가 하하호호 행복한 해피엔딩이 썸짓했다. 캐릭터의 감정선이란 없는 것처럼 보임 
469,2,2020.02.17 00:28,난 지루함. 내가 이상한거구나
470,10,2020.02.16 20:29,난 지루함. 내가 이상한거구나
471,10,2020.02.16 15:34,장면 하나하나가 예술작품 보는 듯한 감성의 영상미 특히 행복한시절 바닷가에서 모두와 뛰놀던 장면에서 감탄을 토해냈습니다. 어릴적 의무감에 마냥 읽던 고전소설 작은아씨들 때와는 다른 감동이 어른이 되어 다가오네요
472,10,2020.02.16 04:02,
473,10,2020.02.16 02:31,"엄마랑 보면 더욱 좋은 영화. 10대 때의 나의 생각과 20대가 된 나의 생각, 그리고 엄마의 생각들까지 공유할수있어 너무나 좋았던. 삶의 희노애락을 다 느낄 수 있는 영화. 왜 영화를 보아야하는지 다시금 느끼게해준 영화. "
474,10,2020.02.15 15:16,간만에 훌륭한 영화를 봤네요 모두들 가족들과 좋은 추억을 공유하셨으면 합니다
475,8,2020.02.15 00:23,에이미 배우분 너무 좋았다. 에이미 그 자체였고 에이미의 특징을 잘 살려주었음. 캐스팅된 배우는 모두 훌륭했지만 너무 급하게 만든 느낌... 난잡하고 따로 놀고 너무 어영부영 마무리된것같은.. 원작을 따라가지를 못해서 아쉬움. 
476,10,2020.02.15 00:08,"긴 시간인데 연출을 촘촘하게 잘 짜서 지루할 틈이 없었고, 캐릭터 한 명 한 명 인물들과의 관계성을 잘 살려주었음..bb"
477,8,2020.02.14 20:51,원작이랑 너무 똑같아요  ㅜㅜ 좋았지만 원작 따라갈수가없어요
478,10,2020.02.14 01:57,과거와 현재가 포개지는 연출은 처음에는 정신없었는데 어느순간 영화에 몰입하게됩니다 배우들의 섬세한 연기는 와이드한 앵글에 꽉찬 영상미보다 빛이 납니다 어린시절 치고박고 함께자란 동생들이 생각나며 유년시절의 마감이 새삼 서글프다가도 현재의 행복에 감사하게 되는 시간입니다다만 아빠 나올때마다.. 악덕변호사가 떠올라서 ; 
479,10,2020.02.13 21:24,예고편 이상입니다!! 최고!!
480,10,2020.02.13 20:39,벅찬다ㅠㅠㅠ이 영화를 보게될줄이야
481,10,2020.02.13 20:39,네 자매 너무 예쁘고 사랑스럽다~!배우들 다 캐릭터 소화력 굿
482,8,2020.02.12 23:46,자극적이고 드라마틱한 영화를 기대하면 지루할 수 있겠지만 보면서 마음 따뜻함은 충분히 느낄 수 있음.. 영상미와 ost가 너무 좋다 배우들도 너무 예쁘고
483,8,2020.02.12 23:22,뭔가 특별한 얘기가 아닌것 같으면서도 감동적. 어린시절을 떠올리게 하는영화
484,9,2020.02.12 23:01,뭔가 특별한 얘기가 아닌것 같으면서도 감동적. 어린시절을 떠올리게 하는영화
485,10,2020.02.12 22:58,네 자매와 그 주변인물들의 따뜻하고 어쩌면 당당한 이야기. 주옥같은 대사가 많았다 과거와 현재를 넘나드는 연출과 적재적소에 나오는 음악이 인상적이었다 너무 재미난 영화였다. 나는 이제 작은아씨들 책을 읽어야겠다.
486,10,2020.02.12 22:30,
487,9,2020.02.12 21:33,"아름답다. 다만 조의 시점에서 영화가 흘러가다보니 원작의 메그와 에이미, 베스를 일부분 죽인 것 같아 아쉬웠다. 원작이 얼마나 천재적인지 다시 느낄 수 있었다!"
488,9,2020.02.12 20:20,"먼저 영화를 보러가시는 분들 중 뒤죽박죽 섞여있는 스토리를 싫어하시는 분들은 안보시는 걸 추천함. 작은 아씨들은 정말 심한데, 아역배우를 사용하지도 않아서 시점이 굉장히 헷갈림. 개인적으로 영화 영상미와 연출은 정말 정말 아름다웠음. 단지 &#39;영상미&#39; 때문에 영화를 소장하고 싶은 적은 또 처음임. 연출부터 영상미에 의상은 정말 완벽했다고 봄. 또 느꼈던 건 사랑은 정말 타이밍이라는 것. 자꾸 아무것도 아닌거에 찔끔찔끔 눈물이 나다가 후반에 들어서는 울음의 연속이었음. 왠만해선 손수건 가져가는게 좋음... 아는 남사친이 PC 영화 아니냐고 으엑 이러는데 딱히 그런 생각은 안들었음. 사람들이 얘기하는 부분은 영화 보면서도 잘 못 느꼈고, 굉장히 잘 녹여냈다고 생각함. "
489,10,2020.02.12 15:12,
490,10,2020.02.12 14:22,
491,10,2020.02.12 14:08,연기도 좋고! 영상미도 있고! 편집도 공 들인 티 많이 나요!! 보는 내내 참 사랑스러웠달까ㅎㅎ 시끌벅적한 작은 아씨들 가족이 어딘가 있을 거 같아요><
492,10,2020.02.12 14:06,리메이크 여러번인데도 감동이있다
493,8,2020.02.12 12:41,안녕하세요 :)ㅎㅎㅎ
494,4,2020.05.02 04:43,기대를 너무 많이 했나..
495,9,2020.02.27 20:33,기대를 너무 많이 했나..
496,10,2020.02.22 17:14,믿겨지지 않을 정도로 아름다웠다. 남자혼자 극장에서 이렇게 자연스럽게 눈물을 흘릴 수도 있구나하고 스스로에게 놀랐다. 아름다우면서 위트넘치고 안타까움에 슬퍼하면서도 그 속에 있는 희망참에 경의를 표하지 않을 수 없다. 그레다거윅은 천재이고 시얼사로넌을 비롯한 네 딸들은 너무나 다채롭고 공감가며 티모시샬라메도 반짝반짝 빛난다 
497,4,2020.02.20 15:55,조의 슬퍼도 괜찮은 척 행복짜내는 이야기
498,10,2020.02.18 02:05,베스가 죽엇을 때 같이 눈물을 흘렷어요 너무 여운이 남고 옛날판 작은 아씨들과는 다른 전개방식도 신선햇어요.
499,10,2020.02.18 00:30,"여태까지 별 다섯 개 준 영화가 없었는데 오늘 생겼어요. 평점도 원래 안 주는데 이 영화는 안 주고 못 배기겠어서 남겨요. 이 세상 모든 여성들이 봤으면 좋겠는 영화. 뭐라 형용할 수 없는 감정이 들고 색감도 다채로워서 눈과 귀를 즐겁게 해주는 영화! 감동적이에요. 진짜 최고의 영화. 아직 올해의 초반부밖에 지나지 않았지만, 2020년 통틀어서 이 영화가 최고라고 감히 말하고 싶네요. "
500,10,2020.02.17 23:35,Joh: I'm so sick of it. But I'm so lonely.
501,10,2020.02.17 23:10,"연기,연출,스토리,색감 어느하나 빠지지 않는 영화... 한번 보기에는 아까운 영화"
502,7,2020.02.17 11:37,"첫째딸 엠마왓슨 이 너무 동안이라, 큰언니 같지 않았어요. 어린 헤르미온느가 갑자기 늙어서 삶에 찌든 큰언니로 나오다니.OMG..스토리도 막판에 너무 산으로 가고.. 여튼 여친들끼리 한번 보러가긴 좋은 영화인듯 합니다. "
503,2,2020.02.16 18:12,원작을 너무 좋아해서 10번도 넘게 읽었는데 내가 상상했던 따뜻한 자매들과 다른 느낌. 현재에서 과거를 회상하는 방식이라 집중이 안되고 너무 이야기를 간추린 느낌이라 아쉽고 보는 내내 정말 지루했음
