,평점,일시,감상평
127,10,2020.02.12 21:36,어느 순간 아니 처음부터 조에게 몰입해서 영화를 보게 되었다. 그래서 그런지 러브라인이 이미 정해져있다는 걸 알아도 엇갈릴 때 괜히 안타까웠다...시얼샤 연기 너무 최고ㅠㅠ 티미와의 연기 호흡도 너무 좋았다 영화 보는 내내 모든 씬들에 공감이 갔다ㅠㅠ 
128,10,2020.02.22 14:27,"전체관람가임에도 불구하고 이 영화가 담고있는것은 무겁다. 인간으로써 성공하고싶은 욕구와 여자로써 사랑하고 사랑받고싶은 욕구가 상충할때 당신은 무엇을 선택할것인가, 두가지 모두 선택할 수 있는 시대가 올것인가"
129,8,2020.02.16 20:46,"21세기에 맞춰서 잘 각색된 리메이크.영상이랑 의상이 굉장히 예쁘고, 배우들 연기가 좋음. 특히 조 역의 시얼샤는 조 그 자체이고, 티모시는 사랑스러움. 하지만 과거와 현재를 오가는 편집은 좀 산만함. 그리고 외모케미가 별로임. 막내 에이미를 하기에는 너무 성숙한 플로렌스퓨와 너무 동안에 영국악센트가 남아있는 엠마왓슨이 아쉽고. 자매들끼리 분위기가 너무 안닮아서 자매스럽지 않음. "
130,10,2020.02.13 13:06,아주 어릴때 보았던 기억으로 64세에 다시 봅니다   기억이 새로운 감동의 영화 입니다
131,9,2020.02.13 16:18,고전의 힘! 장면마다 명대사와 명화같은 너무나 사랑스런 작은 아씨들
132,10,2020.02.13 13:01,배우들 연기가 정말 하나도 빠지는 사람 없어서 진심으로 몰입했고 사실 지루할까봐 걱정이 되기도 했는데 정말 시간 가는 줄 모르고 봤어요 영상미도 최고
133,10,2020.02.14 14:17,조 로리 아니면 무슨 의미 ㅜㅜ
134,6,2020.02.17 15:53,영화보는내내 많이 졸렸습니다..
135,10,2020.02.22 17:10,다양한 여성캐릭터를 볼 수 있어서 좋았다
136,10,2020.02.17 00:04,베스를 위하여. 베스가 피아노를 선물 받을때. 눈물 나네요.
137,6,2020.02.16 02:45,일단 과거랑 현재 왔다갔다해서 상황이나 스토리 이해하는데 애를 먹었다.. 왜 굳이 이렇게 해야했을까... ? 이 영화는 큰 스토리랄게 없기때문에 감정선을 잘 그려내야지만  재미와 감동이 있었을텐데 너무나도 많은 편집을 했는지 갑자기??왜?? 언제부터?? 이런 당혹스러운 포인트가 여.러.번. 있었다. 결과적으로 캐릭터들의 선택과 감정에 공감하기 어려웠다.... 남은건 예쁜 의상들 뿐인데 사실 이마저도 아카데미 의상상 수상까지 받을 정도인지는 모르겠다... 
138,10,2020.02.13 22:19,아카데미 의상상 받을만했어요보는재미가 있었고무엇보다 두배우에 케미가 너무 좋았어요어린배우들의 연기력이 대단하네요
139,6,2020.02.18 14:27,솔직히 지루했다.
